"index";"Title";"I";"I Threshold";"LRA";"LRA T";"LRA L";"LRA H"
0;"1. Die Fotografie und Ich";24,5;24,1;8,0;23,9;19,1;27,1
1;"2. Frauen in der europäischen Fotografiegeschichte";29,5;28,9;8,6;28,9;24,0;32,6
2;"3. Fashion & Beauty Fotografin Katharina Koberger";17,4;16,9;9,5;16,9;11,899999999999999;21,4
3;"4. Wie viel kann ich für meine Fotos verlangen?";24,6;24,200000000000003;6,0;24,200000000000003;21,0;27,0
4;"5. Halloween special - Die Toten fotografieren";31,8;31,4;6,1;31,4;28,1;34,2
5;"6. Model Naima - Germany’s Next Topmodel, Arbeitsrecht und Body Positivity";24,4;23,9;10,8;23,799999999999997;17,1;27,9
6;"7. Einfach Tips für bessere Porträts";28,0;27,799999999999997;4,8;27,799999999999997;25,3;30,1
7;"8. Die Eventfotografin/Musikproduzentin Ivana - Analog vs. Digital";25,9;25,5;7,9;25,5;21,4;29,4
8;"9. Die Magazin Fotografin Annika Weertz - Ist Fotografie Kunst?";32,6;32,5;2,2;32,5;31,4;33,5
9;"Trailer";31,3;30,9;8,6;31,0;23,8;32,5
10;"10. Direct Message Marketing für Fotografi*nnen";32,1;32,1;1,9;32,1;31,1;33,0
11;"11. Die Porträtfotografin Xenia Bluhm über Business & Personal Branding Fotografie";30,9;30,5;4,8;30,4;28,0;32,8
12;"12. Social Media Marketing für Fotograf*innen";31,3;31,2;1,8;31,200000000000003;30,4;32,2
13;"13. Steady/Patreon Sneakpeak: Psyche und Fotografie";33,3;33,3;1,4;33,3;32,6;34,0
14;"14. Fotografie in den 2000ern: Lokalisten, Schüler VZ und viele Peinlichkeiten mehr";32,0;31,9;1,8;31,9;31,1;32,8
15;"15. Kund*innen";26,6;26,299999999999997;6,4;26,200000000000003;22,8;29,1
